sentiment,retweet
0.063258621,14
-0.877431487,13
-0.587980231,14
-0.454149918,0
-0.231241817,3
-0.779358589,3
-2.174117777,0
0.274650022,1
0.952569165,0
0.423804005,3
1.443748754,0
2.161336257,5
1.64044914,4
-0.20316413,0
-0.179746846,2
0.647213952,0
-0.794069685,0
1.718527567,0
-0.159972594,1
-0.230500044,0
-1.194489427,0
1.178287198,0
1.934959064,0
-0.514696375,1
-0.392330726,1
0.70275628,4
0.073202243,0
0.348771164,0
1.238245858,2
-0.359617695,1
-0.597692928,0
1.550406672,1
-0.298214912,0
0.332018444,1
-0.037271274,1
-0.967530866,2
2.445228031,0
3.67702451,0
1.699404438,0
0.039642649,2
-1.285910546,0
0.322749019,0
0.680297218,1
-0.710263921,0
-0.285943297,2
1.734492363,0
-0.405563256,1
-1.383650149,0
0.197481812,0
0.434583066,0
0.790976748,1
-1.159130412,1
2.226595018,2
1.317326598,1
0.170345654,2
-0.04638586,0
1.741967234,0
0.223447154,1
0.462303265,0
0.568681724,4
0.30725196,0
0.264715761,3
-0.031912479,2
0.21315299,4
0.691712379,5
-0.458389454,0
-0.392482231,1
-0.877869999,0
0.572079818,0
0.669495717,0
0.244097985,0
1.613528654,0
1.900191947,0
0.488666018,7
0.620651615,0
-0.356384374,9
1.99584104,1
0.431620601,0
-1.134412956,3
1.984185025,3
-0.327077108,4
0.047694245,0
0.898808686,0
-0.311418352,1
-0.506338849,0
-0.575990319,0
1.044706154,0
-1.032084566,5
0.399459319,3
-0.207731226,0
-0.57161532,0
-1.178459666,1
0.69208005,0
2.29686741,0
1.665757525,0
-0.156439107,6
-0.081688979,8
1.475428617,0
-0.057300214,0
0.916011956,0
-1.040580728,0
0.99279827,0
1.534788721,0
1.352152702,0
-0.261460575,0
0.016921135,1
-0.789599234,0
1.110884246,0
1.710946519,0
2.780273335,1
-0.471490585,4
-0.344621071,0
0.101980497,0
2.198135405,0
1.41423566,1
1.223618894,1
0.63045389,2
1.283197015,0
0.711757488,0
1.209195791,1
-0.070217037,11
1.08900326,1
-0.885898989,0
0.374916075,1
0.425778738,3
-2.663410386,1
0.377843216,1
0.228632846,2
-0.865228492,5
-0.730614998,11
-1.001488866,2
-0.044002887,4
-1.349548072,6
-0.155199048,2
0.053610632,34
-0.801099862,10
-1.262026925,2
0.171925183,7
-2.441004488,3
-0.940496599,6
-1.137823934,15
-0.047197821,11
-0.401446009,3
-1.298302018,4
-0.640960321,3
-0.355430654,1
1.430511919,1
-1.74940317,9
0.382317047,2
0.143904505,4
-0.1559039,7
-2.182379476,8
0.383112238,1
-0.029441415,2
-0.155751041,3
-1.134585063,2
0.883377647,4
-0.137735991,10
-0.454183197,8
-0.88582271,1
-0.055746472,2
-0.380052673,8
-1.497853741,10
-0.678047664,8
-0.958010599,2
-1.030076982,2
-0.694325684,12
-0.370521966,1
-0.502691958,18
-1.926089287,2
0.335893,2
0.134997506,2
-0.716132097,2
-1.408070368,50
